"tweets","words"
75,"LISTEN"
75,"Great"
75,"Big"
75,"Seas"
75,"Sean"
75,"McCann"
75,"pens"
75,"Fort"
75,"McMurray"
75,"tribute"
75,"song"
75,"httpwww"
75,"660newscom20160629gre"
75,"atbigseasseanmccannpensfortmcmurraytributesong"
75,"…"
75,"ymm"
75,"ymmfire"
75,"pictwittercomMeV2R07sya"
76,"hey"
76,"YEG"
76,"Im"
76,"playing"
76,"at"
76,"AND"
76,"MCingthats"
76,"a"
76,"first"
76,"the"
76,"big"
76,"show"
76,"at"
76,"Commonwealth"
76,"today"
76,"gonna"
76,"be"
76,"fun"
76,"so"
76,"come"
76,"fireaidbenefit"
76,"ymmfire"
77,"Today"
77,"was"
77,"originally"
77,"Grad2016"
77,"for"
77,"Father"
77,"Merc"
77,"Were"
77,"thinking"
77,"of"
77,"you"
77,"all"
77,"and"
77,"well"
77,"see"
77,"you"
77,"in"
77,"August"
77,"ymmfire"
77,"ymm"
77,"pictwittercomuwQRPtytEi"
78,"Corb"
78,"Lund"
78,"Alan"
78,"Doyle"
78,"hosting"
78,"benefit"
78,"concert"
78,"for"
78,"Fort"
78,"McMurray"
78,"fire"
78,"victims"
78,"http"
78,"ckomcomarticle882693"
78,"corblundalandoylehostingbenefitconcertfortmcmurrayfirevictims"
78,"…"
78,"ckom"
78,"ymmfire"
79,"Fort"
79,"Mac"
79,"must"
79,"be"
79,"back"
79,"Courtesy"
79,"on"
79,"the"
79,"local"
79,"roads"
79,"seems"
79,"to"
79,"not"
79,"exist"
79,"anymore"
79,"ymm"
79,"ymmfire"
80,"Fort"
80,"McMurray"
80,"Fire"
80,"Aid"
80,"concert"
80,"ready"
80,"to"
80,"rock"
80,"Commonwealth"
80,"Stadium"
80,"tonight"
80,"http"
80,"owly9n5Q301KZBg"
80,"ymmfire"
80,"pictwittercomZ80BuESaEC"
81,"Fort"
81,"McMurray"
81,"Fire"
81,"Aid"
81,"concert"
81,"ready"
81,"to"
81,"rock"
81,"Commonwealth"
81,"Stadium"
81,"tonight"
81,"http"
81,"owly9n5Q301KZBg"
81,"ymmfire"
81,"pictwittercomSVEFBp8VBJ"
82,"Several"
82,"NCIAAlberta"
82,"companies"
82,"collectively"
82,"raised"
82,"173M"
82,"for"
82,"RedCrossAB"
82,"to"
82,"support"
82,"ymmfire"
82,""
82,"Story"
82,"httpwww"
82,"nciaabcanewsletter201"
82,"6june"
82,"…"
82,"ABHeartland"
83,"Edmonton"
83,""
83,"Its"
83,"going"
83,"to"
83,"be"
83,"a"
83,"great"
83,"show"
83,"for"
83,"a"
83,"great"
83,"cause"
83,"ymmfire"
83,"http"
83,"fbme1oLd7DwyA"
84,"We’ve"
84,"been"
84,"supporting"
84,"spcanada"
84,"’s"
84,"ymmfire"
84,"relief"
84,"Matching"
84,"donations"
84,"to"
84,"our"
84,"AlbertaStrong"
84,"fund"
84,"up"
84,"to"
84,"10K"
84,"http"
84,"owlyXemE200014A"
85,"Feeling"
85,"hungry"
85,"If"
85,"you"
85,"can"
85,"wait"
85,"a"
85,"little"
85,"longer"
85,"you"
85,"can"
85,"get"
85,"a"
85,"free"
85,"pancake"
85,"breakfast"
85,"ymm"
85,"ymmfire"
85,"WBRocks"
85,"pictwittercomOlnNCDCHTm"
86,"Few"
86,"hundred"
86,"handmade"
86,"quilts"
86,"crib"
86,"size"
86,"quilts"
86,"to"
86,"queen"
86,"from"
86,"centralinterior"
86,"BC"
86,"are"
86,"going"
86,"to"
86,"ppl"
86,"affected"
